Mortes no trânsito,,,Homicídio juvenil,,OR,Homicídios,,,Arborização viária,,,Mortalidade por doenças do aparelho respiratório,,,Remuneração média do emprego formal,,,Favelas (% living in favelas),,,Demanda atendida em creches,,,Gravidez na adolescência,,,Idade média ao morrer,,,Empregos formais por habitante,,,Population change,,,Jobs in the past,
Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor
Campo Grande,8.68,,Campo Grande,42.26,,Campo Grande,6.75,,Campo Grande,10074,,Campo Grande,8.73,,Campo Grande,2835.84,,Campo Grande,4.18,,Campo Grande,70.77,,Campo Grande,4.56,,Campo Grande,72.1,,Campo Grande,0.578,,Campo Grande,0.876101443022197,,Campo Grande,1.75502742230347
Campo Limpo,6.89,,Campo Limpo,63.59,,Campo Limpo,17.45,,Campo Limpo,8738,,Campo Limpo,6.8,,Campo Limpo,1801.48,,Campo Limpo,24.92,,Campo Limpo,73.87,,Campo Limpo,12.04,,Campo Limpo,60.6,,Campo Limpo,0.123,,Campo Limpo,0.874400788904208,,Campo Limpo,2.42324649298597
Cangaíba,11.23,,Cangaíba,51.18,,Cangaíba,11.97,,Cangaíba,6381,,Cangaíba,11.13,,Cangaíba,1777.01,,Cangaíba,11.41,,Cangaíba,91.23,,Cangaíba,11.16,,Cangaíba,65.8,,Cangaíba,0.077,,Cangaíba,1.03356169019168,,Cangaíba,2.36511375947996
Capão Redondo,7.54,,Capão Redondo,48.29,,Capão Redondo,17.24,,Capão Redondo,9995,,Capão Redondo,6.03,,Capão Redondo,2018.27,,Capão Redondo,31.52,,Capão Redondo,67.82,,Capão Redondo,14.23,,Capão Redondo,59.7,,Capão Redondo,0.087,,Capão Redondo,0.858833977715321,,Capão Redondo,3.05429461504228
Carrão,11.86,,Carrão,21.14,,Carrão,11.86,,Carrão,4259,,Carrão,14.91,,Carrão,1945,,Carrão,2.74,,Carrão,92.6,,Carrão,6.11,,Carrão,73.5,,Carrão,0.295,,Carrão,0.925158877619854,,Carrão,1.83425680558901
Casa Verde,10.59,,Casa Verde,19.39,,Casa Verde,9.41,,Casa Verde,5573,,Casa Verde,12.61,,Casa Verde,2813.27,,Casa Verde,0.129,,Casa Verde,77.59,,Casa Verde,8.94,,Casa Verde,70.5,,Casa Verde,0.403,,Casa Verde,0.98583065153069,,Casa Verde,1.91607142857143
Cidade Ademar,11.69,,Cidade Ademar,36.94,,Cidade Ademar,10.96,,Cidade Ademar,9905,,Cidade Ademar,8.29,,Cidade Ademar,1814.46,,Cidade Ademar,24.82,,Cidade Ademar,61.84,,Cidade Ademar,14.51,,Cidade Ademar,63.4,,Cidade Ademar,0.076,,Cidade Ademar,0.884358784284655,,Cidade Ademar,1.77292779196657
Cidade Dutra,8.2,,Cidade Dutra,30.66,,Cidade Dutra,10.25,,Cidade Dutra,15934,,Cidade Dutra,9.86,,Cidade Dutra,2607.48,,Cidade Dutra,10,,Cidade Dutra,80.6,,Cidade Dutra,12.66,,Cidade Dutra,65.2,,Cidade Dutra,0.135,,Cidade Dutra,0.982570436996879,,Cidade Dutra,1.91519607843137
Cidade Líder,11.6,,Cidade Líder,34.58,,Cidade Líder,13.92,,Cidade Líder,8029,,Cidade Líder,7.94,,Cidade Líder,1799.51,,Cidade Líder,15.35,,Cidade Líder,89.52,,Cidade Líder,11.25,,Cidade Líder,63.7,,Cidade Líder,0.095,,Cidade Líder,0.900446211823457,,Cidade Líder,1.503320279244
Cidade Tiradentes,10.53,,Cidade Tiradentes,70.62,,Cidade Tiradentes,15.56,,Cidade Tiradentes,3520,,Cidade Tiradentes,6.87,,Cidade Tiradentes,4252.35,,Cidade Tiradentes,4.23,,Cidade Tiradentes,97.86,,Cidade Tiradentes,18.07,,Cidade Tiradentes,57.3,,Cidade Tiradentes,0.214,,Cidade Tiradentes,0.867135125301314,,Cidade Tiradentes,0.00366969147005445
